2.469	175.62	185.7	3.083
1.942	1.6	1.6	-999.0
1.1715	26.881	44.645	9.941
0.42	116.354	362.159	2.563
3.3765	66.6	66.6	-999.0
1.859	76.8	76.8	-999.0
2.4	15.31	15.31	-999.0
1.505	138.4	138.4	-999.0
2.938	15.104	238.0	0.572
1.39	9.728	16.713	2.187
0.58	64.0	64.0	-999.0
0.117	6.4	18.917	0.362
0.654	48.897	53.903	0.362
0.6678	20.736	22.767	1.557
2.855	486.4	486.4	-999.0
1.1175	46.721	200.257	1.332
1.305	134.3	134.3	-999.0
1.0	35.2	35.2	-999.0
1.998	210.0	210.0	-999.0
2.25	94.1	94.1	-999.0
1.445	22.016	62.302	0.572
1.409	15.36	21.199	1.448
2.487	40.9	40.9	-999.0
2.409	80.384	174.8	4.615
0.0368	189.4	189.4	-999.0
1.87	41.9	41.9	-999.0
0.3293	107.266	124.482	0.81
0.886	25.6	29.947	1.493
0.0093	2.048	2.048	0.466
2.01	22.781	217.3	1.377
0.557	20.928	20.928	2.096
1.329	26.7	26.7	-999.0
2.366	164.13	164.13	-999.0
0.818	216.4	216.4	-999.0
0.454	0.2	3.481	-999.0
3.51	78.593	189.814	0.572
2.53	122.882	136.43	0.724
3.645	46.2	46.2	-999.0
1.968	49.152	50.166	4.136
0.1475	6.94	26.632	-999.0
0.645	36.096	42.432	0.724
1.549	122.178	130.343	0.659
1.159	105.1	105.1	-999.0
2.013	37.888	218.492	10.861
2.823	36.609	36.609	1.493
0.891	2.24	2.83	0.232
0.16	1.088	1.357	0.977
0.736	131.586	169.935	21.723
1.5	44.4	44.4	-999.0
3.332	64.769	76.379	0.923
1.406	453.385	642.831	0.572
0.483	0.384	0.481	0.405
0.367	107.776	163.128	8.693
1.17	369.67	377.862	0.81
0.555	304.58	304.58	-999.0
1.717	8.2	8.2	-999.0
4.99	28.0	28.0	-999.0
0.726	8.73	8.73	-999.0
1.165	5.0	5.0	-999.0
1.64	98.36	98.36	-999.0
2.38	316.5	316.5	-999.0
3.52	20.2	20.2	-999.0
0.971	325.0	325.0	-999.0
1.96	12.0	12.0	-999.0
2.8	8.704	16.564	2.896
2.59	17.8	17.8	-999.0
4.1	19.32	19.32	-999.0
3.5	46.336	79.902	4.382
1.167	5.0	5.0	-999.0
1.423	8.95	8.95	-999.0
4.063	80.0	80.0	-999.0
0.81	123.394	129.69	1.145
2.33	110.2	125.665	-999.0
1.968	164.7	164.7	-999.0
1.359	112.2	112.2	-999.0
0.755	103.426	172.1	5.753
0.282	123.3	123.3	-999.0
0.313	49.409	95.188	3.974
0.807	10.813	11.038	1.072
1.0	91.0	91.0	-999.0
1.394	0.22	0.22	-999.0
3.139	263.6	263.6	-999.0
2.06	22.272	45.95	0.81
0.593	149.6	149.6	-999.0
1.758	10.688	40.79	0.143
1.5169	13.312	13.569	1.557
2.087	83.2	83.2	-999.0
3.5	24.3	24.3	-999.0
0.46	3.328	3.693	1.382
0.134	0.08	34.532	0.928
0.915	56.32	62.625	4.891
1.452	23.808	44.388	1.717
1.3195	7.616	7.62	0.923
0.615	0.3	0.3	-999.0
1.47	549.9	1419.9	-999.0
0.108	4.352	4.842	0.572
2.993	200.0	200.0	-999.0
2.33	31.489	38.148	2.429
3.35	146.0	146.0	-999.0
0.571	2.56	3.92	0.607
1.21	35.841	85.893	5.473
0.0838	37.633	37.633	9.691
0.351	0.3	0.3	-999.0
0.483	77.568	77.568	2.064
3.29	4.477	5.834	0.362
1.32	7.168	7.936	0.572
0.558	3.52	3.52	-999.0
3.14	83.969	84.737	2.996
2.275	42.0	42.0	-999.0
1.92	111.104	111.104	3.999
0.959	0.13	0.13	-999.0
2.04	45.825	45.825	12.13
4.233	720.0	720.0	-999.0
0.384	22.784	24.133	2.064
4.707	60.5	60.5	-999.0
6.32	23.4	23.4	-999.0
0.725	147.97	161.3	2.36
2.4	23.2	23.2	-999.0
1.0285	44.288	47.104	0.231
0.889	64.128	114.191	2.005
1.6	173.6	173.6	-999.0
4.7	17.42	17.42	-999.0
3.26	95.233	155.02	11.585
3.956	94.7	94.7	-999.0
4.0	7.68	7.898	3.367
4.65	209.0	209.0	-999.0
1.02	8.43	8.43	-999.0
4.952	71.4	71.4	-999.0
5.283	31.232	31.232	8.719
1.416	31.0	31.0	-999.0
1.2076	18.624	64.652	0.716
2.73	27.264	93.6	1.243
3.0	139.7	139.7	-999.0
0.6	91.393	94.0	2.36
0.642	31.232	44.547	0.572
5.3	18.0	18.0	-999.0
7.5	19.968	32.901	7.748
4.042	11.0	11.0	-999.0
2.4	18.176	21.308	0.572
1.686	112.642	124.629	0.462
0.599	17.3	17.3	-999.0
1.293	41.1	41.289	-999.0
1.874	77.057	77.057	2.996
0.717	1.152	1.642	0.59
0.347	6.4	215.555	2.429
0.4791	32.5	32.5	-999.0
0.145	58.881	59.728	6.192
1.155	4.38	5.219	-999.0
2.006	7.424	7.424	6.192
2.092	21.76	51.458	1.639
5.91	276.58	276.58	-999.0
1.06	37.7	37.7	-999.0
0.356	0.18	0.18	-999.0
2.489	48.577	59.022	0.916
3.6	204.0	204.0	-999.0
1.3033	5.43	5.43	-999.0
2.27	88.0	88.962	-999.0
2.78	27.0	27.0	-999.0
0.34	138.242	213.83	3.238
1.297	104.962	156.238	8.809
3.758	28.0	28.0	-999.0
0.597	143.746	143.746	13.029
4.3	25.1	25.1	-999.0
2.539	4.3	4.3	-999.0
0.8	828.672	850.845	11.363
1.023	5.632	183.482	1.717
2.1	42.7	42.7	-999.0
3.385	85.0	85.0	-999.0
2.2	17.344	30.535	0.923
2.7	102.338	317.0	31.849
0.1126	242.436	448.125	4.404
1.773	62.6	62.6	-999.0
2.298	69.0	69.0	-999.0
0.58	65.793	80.6	4.382
7.8	27.2	27.2	-999.0
3.1	182.275	185.192	19.777
3.93	112.066	112.066	10.419
0.97	5.76	17.309	1.778
2.358	9.7	9.7	-999.0
2.671	14.336	30.876	6.557
3.1	48.0	48.0	-999.0
3.796	50.0	50.0	-999.0
0.8	25.472	73.859	2.612
1.48	72.8	72.8	-999.0
0.9586	42.4	42.4	-999.0
2.486	226.048	226.304	1.056
0.3984	159.0	159.0	-999.0
4.15	22.528	22.528	5.431
1.8037	44.033	111.792	0.724
1.405	40.96	42.489	4.238
1.3487	271.364	271.364	4.58
6.0	26.7	26.7	-999.0
0.283	5.35	5.35	-999.0
2.876	38.7	38.7	-999.0
2.8115	62.9	62.9	-999.0
1.798	11.776	69.6	1.81
0.7	80.384	81.154	16.927
1.1	8.13	8.13	-999.0
2.4	61.7	61.7	-999.0
1.728	55.297	258.95	6.229
2.943	37.825	37.825	12.586
1.3805	25.4	25.4	-999.0
0.714	99.842	102.806	2.111
0.297	106.8	106.8	-999.0
1.0796	7.6	7.6	-999.0
3.1516	290.0	290.0	-999.0
2.211	0.432	1.397	0.082
2.893	12.032	26.652	0.923
5.0	63.46	63.46	-999.0
0.0131	26.0	26.0	-999.0
3.36	67.073	107.763	3.916
1.348	48.0	48.0	-999.0
